zonecode,2020,2021,2022
AT,190.85306466302367,219.97212328767125,244.51572602739722
AU-NSW,692.2323542805101,655.3585228310502,592.9234143835615
AU-QLD,707.274048269581,686.1951369863013,657.0628424657534
AU-SA,238.54954690346082,205.71337328767123,179.61434474885846
AU-TAS,25.227862021857923,22.47599315068493,26.73400228310502
AU-VIC,637.5258401639345,591.279555936073,541.0684280821918
AU-WA,492.4862898451731,469.09626826484015,434.8869691780822
BA,583.7265585154827,533.967296803653,581.5518995433789
BE,223.46302367941712,167.3585605022831,171.3494280821918
BG,418.7253574681239,476.26205136986306,535.5372340182648
BR-CS,103.4713012295082,172.5510696347032,101.60296689497717
BR-N,158.5042065118397,183.33214269406395,105.05789726027396
CA-ON,41.20016734972677,49.55615867579909,59.141563926940634
CA-QC,28.918033925318763,28.542375570776258,28.471166666666665
CH,104.70785860655737,137.09711415525115,152.3134703196347
CL-SEN,243.01488843351547,252.3881426940639,211.88424315068494
CY,929.7464867941712,967.5598219178081,949.7636461187216
CZ,491.10684198542805,527.2493698630136,545.6372420091324
DE,392.7220434881603,445.6956632420091,481.4542100456621
DK-BHM,48.53803051001822,62.180743150684926,66.51640867579908
DK-DK1,168.65252049180327,211.4564200913242,200.60849657534246
DK-DK2,176.30736111111113,207.44145205479452,159.95328082191782
EE,324.43223246812386,390.3122831050229,377.80571575342464
ES,184.9160018214936,177.90823515981734,211.46014269406393
FI,152.19085040983606,179.8839086757991,147.17525
FR,63.266033697632054,63.735050228310506,99.44588242009134
GB-NIR,349.88129667577414,388.7023184931507,354.6050878995434
GB,230.69646402550092,247.97649771689498,234.79788356164383
GR,482.33930783242266,440.24336643835613,433.91603196347035
HK,435.3599999999999,435.3599999999999,435.3599999999999
HR,267.54371584699453,279.4248698630137,310.8345696347032
HU,295.596656420765,302.34662899543383,298.2814703196347
ID,652.36,652.36,652.36
IE,383.7414264571949,411.1150787671233,397.21772945205475
IL,570.230742258652,574.073899543379,577.2022363013698
IN-MH,724.0455555555554,728.1563584474886,731.024582191781
IN-UP,728.4277641165756,733.830135844749,731.5320593607307
IN-WE,578.2676035974499,609.6177716894978,614.7593310502282
IT-CNO,297.18984403460837,304.0370890410959,352.3581061643835
IT-CSO,441.2342201730419,413.6742728310502,461.0920148401826
IT-NO,310.30635018214934,333.7983938356165,375.35323744292236
IT-SAR,632.5067714025499,603.8437876712329,613.1161575342466
IT-SIC,419.6262989526412,422.61469292237445,477.221946347032
IT-SO,414.2760359744991,397.24343721461184,448.8693710045662
JP-KN,458.00451502732244,459.3867682648402,458.4847054794521
JP-TK,551.0889412568306,555.553897260274,555.1362271689497
KR,490.153524590164,490.61082990867584,490.8236632420092
LT,266.47909153005463,316.34094406392694,229.26999657534245
LU,333.4024772313297,358.33884817351594,363.6085342465753
LV,300.2724874772313,318.23696689497723,284.2007945205479
NL,451.819781420765,440.51755936073056,398.21049657534246
NO-NO1,29.348893442622952,31.212339041095888,29.334046803652967
NO-NO2,27.245140027322403,37.002915525114155,53.03365753424658
NO-NO3,32.403977686703094,25.636650684931507,27.27640182648402
NO-NO4,47.843125,29.885454337899546,44.18876369863013
NO-NO5,36.09691029143899,37.957424657534254,31.27281506849315
NZ,92.23014230418943,92.11905707762557,95.56433675799086
PA,265.80422131147543,230.14275799086758,239.69905821917808
PE,97.96796903460839,192.57744292237444,206.2373002283105
PL,826.6023383424408,855.1772705479452,819.2041278538813
PT,240.72776070127503,205.0447785388128,222.85501598173516
RO,429.93166211293266,454.518600456621,473.1699315068493
SE-SE1,14.83753756830601,14.151103881278539,15.899619863013701
SE-SE2,16.482061703096537,17.43739611872146,16.304626712328766
SE-SE3,25.066302367941713,29.980710045662097,23.427374429223743
SE-SE4,38.34920651183971,55.02870205479452,37.30086301369863
SG,492.40096197632056,491.58792123287674,491.5096723744293
SI,264.2652777777778,268.827044520548,276.5638173515982
SK,292.6936714480874,325.6150787671233,345.01007990867583
TR,424.51982809653913,435.7391358447489,396.1520662100457
TW,539.6630566939891,541.424845890411,535.7792579908677
US-CAL-BANC,238.31885815118397,276.0486301369863,253.481845890411
US-CAL-CISO,278.0985393897996,278.9225856164383,264.2328356164383
US-CAL-LDWP,396.3332638888889,418.01949543379,374.18884817351596
US-CAL-TIDC,360.5830179872495,377.4261815068493,383.9569794520548
US-CAR-CPLE,297.42714594717665,302.8925947488584,311.79447602739725
US-CAR-CPLW,415.44036429872494,468.91361529680364,478.5029600456621
US-CAR-DUK,275.49275273224043,302.1531118721462,311.8410582191781
US-CAR-SC,585.4456193078324,643.0734452054794,614.2364965753424
US-CAR-SCEG,417.6515118397086,438.32017579908677,413.7088515981735
US-CENT-SPA,188.7380088797814,228.17783675799086,284.0601723744292
US-CENT-SWPP,472.9163387978142,482.7464212328766,466.7348595890411
US-FLA-FMPP,583.4453517759563,580.4120787671234,565.8939771689498
US-FLA-FPC,547.7163672586521,545.108457762557,535.0040833333334
US-FLA-FPL,405.78116347905285,398.69120547945204,400.9999212328767
US-FLA-GVL,650.28120787796,715.7348618721461,688.1029748858448
US-FLA-JEA,723.9703950364299,681.03375456621,672.3972271689497
US-FLA-TAL,459.97851889799637,465.3904155251141,464.09693264840183
US-FLA-TEC,591.8160234517304,595.9215913242009,578.1491689497716
US-HI-OA,945.4542418032786,921.3783664383564,918.3538299086757
US-MIDA-PJM,415.13556010928966,435.24686529680366,425.3411255707763
US-MIDW-AECI,661.3922210837886,667.8603858447489,672.5062385844748
US-MIDW-LGEE,893.5416211293261,886.440899543379,860.8752716894977
US-MIDW-MISO,518.4217486338797,559.4231061643836,524.6019109589041
US-NE-ISNE,263.0993146630237,274.9616860730594,285.22087671232873
US-NW-BPAT,76.01276753187614,100.16670890410958,96.08086415525113
US-NW-CHPD,24.683948087431695,25.865966894977173,24.85292123287671
US-NW-DOPD,25.500379098360654,28.197793378995435,26.328780821917807
US-NW-GCPD,39.57598929872495,41.917077625570776,37.15552511415525
US-NW-GRID,550.3897256375227,477.83413356164385,486.8194006849315
US-NW-IPCO,281.40971539162115,368.2584885844749,365.26175913242014
US-NW-NEVP,505.3805510018216,510.335703196347,479.12168150684937
US-NW-NWMT,596.6076821493625,686.964647260274,687.7333618721461
US-NW-PACE,676.6369535519126,641.517055936073,663.4274703196347
US-NW-PACW,285.7341017759563,331.0084874429224,235.75851712328765
US-NW-PGE,157.37578324225865,201.98338812785389,174.69506506849314
US-NW-PSCO,605.1366142987249,610.2964657534246,557.1664018264839
US-NW-PSEI,185.24156306921677,144.85751484018266,130.55853881278537
US-NW-SCL,24.0,24.0,24.0
US-NW-TPWR,54.61511498178507,68.55657420091323,67.29688926940639
US-NW-WACM,766.2709448998178,766.9815719178082,768.4439646118722
US-NY-NYIS,235.66375683060107,259.9556210045662,281.34514726027396
US-SE-SOCO,439.1332229052823,462.1793892694064,460.91296461187216
US-SW-AZPS,507.643712431694,448.0878892694064,458.37979794520544
US-SW-EPE,647.2528597449909,641.8943687214611,602.0049726027397
US-SW-PNM,674.2295480418944,670.2516461187214,579.3393641552512
US-SW-SRP,302.7588683970856,274.1348253424658,256.1828789954337
US-SW-TEPC,696.2371413934426,653.0672454337899,615.060904109589
US-SW-WALC,445.9319797358834,403.3045776255708,394.27036187214605
US-TEN-TVA,314.3899430783242,359.19346803652974,366.08589497716895
US-TEX-ERCO,427.69721083788704,420.46240296803654,401.8056461187215
UY,87.65543602003645,141.39410045662098,95.84462557077624
ZA,724.4211589253188,710.4685114155251,704.4555753424659
