name,hydro,solar,wind,nuclear,fossil fuels
SE-SE1,0.7893927498653005,0.00011054408106359142,0.20390718409073222,,0.006589521962903683
SE-SE2,0.729993888543456,0.0006738556526347332,0.25037482401131084,,0.018957431792598397
SE-SE3,0.09991900111072612,0.0072273067872189005,0.113783703419566,0.7022209486637037,0.07684904001878531
US-NW-SCL,1.0,,,,0.0
US-NW-CHPD,0.9977598751382291,,0.0022401248617710014,,0.0
US-NW-DOPD,1.0,,,,0.0
AU-TAS,0.80492371471501,0.023579460975718412,0.16164725045699654,,0.00984957385227509
NO-NO3,0.7666074003192871,,0.2282913545496367,,0.005101245131076153
CA-QC,0.9226148674394233,6.112866617745535e-05,0.05111837443752511,1.0589180995610893e-06,0.026204570538774546
NO-NO1,0.9410301264827533,,0.053631375856306375,,0.005338497660940215
NO-NO5,0.9803038774717904,,0.0007301373553716025,,0.018965985172838006
US-NW-GCPD,1.0,,,,0.0
SE-SE4,0.13362363429476723,0.05125429792254854,0.5654517444311428,,0.24967032335154155
NO-NO4,0.8696139488333552,,0.08794980470726275,,0.04243624645938203
NO-NO2,0.8532801297290067,,0.13936053271963103,,0.0073593375513622454
CA-ON,0.2588107606615421,0.00472996046113783,0.09442115316331604,0.5381255251812088,0.10391260053279502
DK-BHM,,0.13781675147586536,0.5842336602709772,,0.27794958825315746
US-NW-TPWR,1.0,,,,0.0
NZ,0.7603229361665241,,0.08677653975225794,3.285487903393451e-05,0.15286766920218403
UY,0.411479099991926,0.03713093002830117,0.38018663307149075,,0.17120333690828207
US-NW-BPAT,0.7433717561514918,0.002694451242311693,0.06753716148428889,0.10682703509911888,0.07956959602278874
FR,0.09975907858421397,0.04332020466571194,0.08484022860076806,0.6462478805747286,0.12583260757457743
BR-CS,0.814398233685789,0.012128725250167526,4.42268159003412e-07,0.05085789498566026,0.1226147038102242
BR-N,0.7990039656309262,1.07121820509509e-06,0.024358415707005962,2.1163555343470214e-06,0.1766344310883283
US-NW-PSEI,0.2063190594265829,0.0029618233712928365,0.2256544362122281,,0.5650646809898962
FI,0.19905956692440777,,0.1671470652292774,0.3853748868331212,0.24841848101319364
CH,0.368152868194646,0.056024894136305646,0.000814503942379236,0.4659635204074076,0.10904421331926148
DK-DK2,,0.07614808529982951,0.4330807512723676,,0.49077116342780286
BE,0.00043563000000616803,0.0695552858644725,0.12085534957460341,0.4882902163376303,0.3208635182232876
US-NW-PGE,0.3773368844724148,,5.49004653447006e-07,,0.6226625665229317
AU-SA,,0.16259123592800925,0.4981751304560614,,0.3392336336159294
DK-DK1,0.0005627993955209203,0.06916282955104158,0.5251568869594587,,0.4051174840939787
PE,0.5569439282660054,0.015365854253181922,0.036977231263142535,,0.3907129862176702
ES,0.08519177898631672,0.10765856442925227,0.2295261118181639,0.2194925864421908,0.35813095832407627
CL-SEN,0.24728908839523445,0.1678995373790038,0.10748549661739433,,0.4773258776083674
PT,0.11857830988791883,0.06706035602080292,0.30210854569784396,0.00016037363591888496,0.5120924147575154
LT,0.12136223581251877,0.09078374707113325,0.36273146972285136,0.001954742013484958,0.42316780538001164
GB,0.01212464148547715,0.04863340678930568,0.2865496733437145,0.16912488450603205,0.4835673938754707
US-NW-PACW,0.26143415558278266,0.09050520415320212,0.1387363370563727,,0.5093243032076425
PA,0.5784022895009456,0.04719442658201664,0.04005275678235764,3.154085871835375e-05,0.3343189862759618
AT,0.6035696104460897,0.015628435846230974,0.1360988888900167,,0.24470306481766274
US-CAL-BANC,0.25244996534803116,0.06888377310391115,,,0.6786662615480578
US-SW-SRP,0.004317338117859489,0.020935258737634126,0.004250854945918808,0.5741703396496334,0.39632620854895406
US-CAL-CISO,0.08631151318626522,0.18417994414000416,0.1265599143336851,0.10477528501260198,0.49817334332744356
SI,0.26320060104825527,0.02421818115756462,0.000337500252287928,0.4340625693928332,0.2781811481490591
US-NY-NYIS,0.21329204660032888,,0.03977812976541889,0.21807339282121962,0.5288564308130326
US-CENT-SPA,0.62276663804825,,,,0.37723336195174983
LV,0.5156124100588302,,0.07355001453134616,0.002856654249992686,0.40798092115983087
US-NE-ISNE,0.0680436625377464,0.008748405875101166,0.0375644777512804,0.2643750764171753,0.6212683774186969
HU,0.005047803919302009,0.08290107889413346,0.019038570550493742,0.4848203599688851,0.40819218666718565
HR,0.24656224324517384,0.00497450684698733,0.12385846676242694,,0.6246047831454119
US-CAR-CPLE,0.004265514709954036,0.07797577062094671,,0.4781100644166078,0.43964865025249145
US-CAR-DUK,0.04318999373500514,0.014560496832444177,,0.5350053764138698,0.4072441330186809
SK,0.1386492071857703,0.020383342727993983,0.00010836497513066485,0.6168866534283742,0.2239724316827308
IT-CNO,0.07356186018586841,0.1690654363519809,0.031214833518977306,,0.7261578699431734
GB-NIR,0.002711909647077486,,0.35436492523816604,,0.6429231651147564
LU,0.04674182650758692,0.1810333150490137,0.26549724701532035,,0.506727611428079
US-NW-IPCO,0.5312372284843552,0.060319404599630866,0.16041912187124935,,0.2480242450447646
US-TEN-TVA,0.11165518439469652,0.008137169808595267,2.2938496663537937e-07,0.41970191463307566,0.4605055017786659
US-CAL-LDWP,0.03887748358119249,0.15638984123101407,0.04933348005267546,,0.755399195135118
IT-NO,0.18019663404110653,0.06282356409340147,0.001688788280849315,,0.7552910135846427
EE,0.0012866220414835257,0.03389863032616771,0.04958612876816154,0.00044165586341727317,0.91478696300077
US-CAL-TIDC,0.09206099873991501,,,,0.907939001260085
US-SW-WALC,0.11700049960635199,0.015962697526885034,0.026988230164917373,,0.8400485727018456
TR,0.2713620675745258,0.0425035008534568,0.09403313579580182,1.3723681477512942e-05,0.5920875720947381
IE,0.025077680311657018,,0.3335462532794577,,0.6413760664088853
NL,0.00095987803312291,0.09041596964308263,0.1902669697059248,0.03369016419933213,0.6846670184185375
US-FLA-FPL,,0.046577060875943786,,0.2329028201715542,0.7205201189525021
US-TEX-ERCO,0.0006985745710878849,0.05133697522763247,0.26377147059893374,0.10134455628396527,0.5828484233183806
US-CAR-SCEG,0.028382326190913302,0.0737304704528564,,0.24785777958530766,0.6500294237709227
US-MIDA-PJM,0.01834812361164198,0.008313621096867225,0.03984060727317138,0.3296708811717829,0.6038267668465365
GR,0.07529639263088861,0.12217184306996473,0.231346713670567,,0.5711850506285796
AU-WA,,0.15476639632043832,0.18107702418749716,,0.6641565794920645
HK,0.0,0.0,0.0,0.2800000250121276,0.7199999749878726
IT-SO,0.02554127578151379,0.09562553018861016,0.20939467439339862,,0.6694385196364775
US-SW-AZPS,5.151751689677963e-07,0.08174606079897258,0.0517464553351281,1.2613702683371389e-06,0.8665057073204621
JP-KN,0.09638023284920072,0.06253969721723086,0.0,0.14760530917158302,0.6934747607619853
US-SE-SOCO,0.039516141677109956,0.029664197041045573,1.1499462207969365e-07,0.1991775353622507,0.7316420109249717
IT-CSO,0.11333838307286624,0.12362824817557713,0.14793525537792934,,0.6150981133736273
US-FLA-TAL,0.007103701759992075,0.03389128291308101,,,0.9590050153269272
US-CENT-SWPP,0.02852035092159812,0.0018895766252258026,0.3861412949542517,0.05129428766126259,0.5321544898376618
RO,0.2556358412046906,0.024378685820043232,0.11786058542864557,0.20400836452338164,0.39811652302323897
IT-SIC,0.009843882403923936,0.09101642686865476,0.18701349853220864,,0.7121261921952126
US-CAR-CPLW,0.07161466349440745,0.0037456744463821266,,,0.9246396620592106
US-NW-NEVP,0.0014566152476063509,0.1612522891239702,0.010067743866258404,1.8585451123865097e-07,0.8272231659076538
DE,0.026161423555647267,0.10011170541027169,0.24471792784930507,0.06825677453229226,0.5607521686524837
US-NW-GRID,,0.03467327858670095,0.15184501975064316,,0.8134817016626559
KR,0.005041981235455351,0.025889143825564925,0.0,0.26117464949494507,0.7078942254440347
SG,9.057442645647798e-06,0.011108975352601254,9.057442645647798e-06,9.057442645647798e-06,0.9888638523194617
US-MIDW-MISO,0.01567330045280891,0.006553699656341255,0.15435851191167013,0.14097418741221404,0.6824403005669656
US-FLA-FPC,0.005523976722508621,0.03068382572339047,,,0.9637921975541008
BG,0.07499102057424117,0.031525873645168984,0.027737374580320637,0.32965344918361,0.5360922820166591
TW,0.02263392867717026,0.03779910606617947,0.013342485053893094,0.0937810496458314,0.8324434305569257
AU-VIC,0.060668423119218017,0.08762201853993015,0.18679307618149354,,0.6649164821593583
CZ,0.02673924653878742,0.030404912907509185,0.008376820469453428,0.37842640385553067,0.5560526162287192
JP-TK,0.05412243913320962,0.06888103353873305,0.0037167875623645404,0.0,0.8732797397656928
US-NW-PSCO,0.006782456859002308,0.04198125374801804,0.3391685734130526,,0.612067715979927
US-FLA-FMPP,,0.019896389850349354,,0.06164663580460398,0.9184569743450468
IL,0.0,0.02224140652176236,0.0,0.0,0.9777585934782376
US-FLA-TEC,,0.06052246561538752,,,0.9394775343846126
US-SW-PNM,0.0026144661181470756,0.0717270826417839,0.3129276570508659,,0.6127307941892031
BA,0.25090671715355395,,0.026289112565077065,,0.722804170281369
AU-NSW,0.050834153734200596,0.1288093033607537,0.09290808087322153,,0.7274484620318242
US-SW-EPE,,0.06602434211546486,,,0.9339756578845352
IT-SAR,0.022561247125718678,0.08674111998539272,0.12002757117204707,,0.7706700617168416
US-CAR-SC,0.01991932016791257,0.008472666700764247,,0.1520676082019764,0.8195404049293467
IN-WE,0.017925814897756357,0.05561054836644681,0.10653547672564306,0.04529127825116721,0.7746368817589865
US-SW-TEPC,,0.11191374518609729,0.1328889055296781,,0.7551973492842247
ID,0.07529153254790362,0.0,0.0,0.0,0.9247084674520964
AU-QLD,0.01988247744285104,0.11789386414027052,0.033565980532628444,,0.8286576778842499
US-NW-PACE,0.017226266113899994,0.07316013261317643,0.18604884231812271,,0.7235647589548008
US-FLA-JEA,,0.0069898412427850595,,,0.9930101587572149
US-MIDW-AECI,,,0.12894355195672916,,0.871056448043271
US-NW-NWMT,0.21294228013921482,0.0018374514370127228,0.10580725082476476,,0.6794130175990076
US-FLA-GVL,,,,,1.0
ZA,0.015252471221754247,0.029217267731965053,0.04647078415293439,0.04919954486090176,0.8598599320324446
IN-MH,0.03495454738744407,0.011513484080564015,0.03163326280220183,0.020633560737764085,0.901265144992026
IN-UP,0.06035016159180385,0.02553251911172439,0.0,0.0,0.9141173192964718
US-NW-WACM,0.1483230877472592,0.00693365166052217,0.12690101407783955,,0.7178422465143792
PL,0.0096058601597198,0.0554921037517495,0.11688919650102683,,0.8180128395875038
US-MIDW-LGEE,0.0100233650560194,0.000564925953829855,,,0.9894117089901506
US-HI-OA,,0.05556917424436197,0.0349331915991821,,0.909497634156456
CY,,0.0507477694709718,0.021708691684709992,,0.9275435388443181
