zone_code,mean,cv
AT,190.85306466302367,0.14269777059771685
AU-NSW,692.2323542805101,0.05535823658960002
AU-QLD,707.274048269581,0.07100690016544606
AU-SA,238.54954690346082,0.26857174582112786
AU-TAS,25.227862021857923,0.09983208903638315
AU-VIC,637.5258401639345,0.07264211669663584
AU-WA,492.4862898451731,0.15730768893029093
BA,504.18068989071037,0.12514308230646695
BE,223.46302367941712,0.11327422183972162
BG,418.7253574681239,0.06475608015147881
BR-CS,103.4713012295082,0.0778741437320655
BR-N,158.5042065118397,0.07365939622139861
CA-ON,41.20016734972677,0.3433241287517605
CA-QC,28.918033925318763,0.016481513718135183
CH,104.70785860655737,0.19469792236894115
CL-SEN,243.01488843351547,0.12073566595567611
CY,929.7464867941712,0.06539733999076487
CZ,491.10684198542805,0.05999660011773284
DE,392.7220434881603,0.1499916381073281
DK-BHM,48.53803051001822,0.44338413962460604
DK-DK1,168.65252049180327,0.22114917068676992
DK-DK2,176.30736111111113,0.18641404644516862
EE,324.43223246812386,0.13039707721429328
ES,184.9160018214936,0.09522694767341845
FI,152.19085040983606,0.06942342514099309
FR,63.266033697632054,0.10887994096681254
GB-NIR,349.88129667577414,0.1874198773832985
GB,230.69646402550092,0.16161935113087095
GR,482.33930783242266,0.13076834082413263
HK,435.3599999999999,0.0
HR,267.54371584699453,0.1001371701703912
HU,295.596656420765,0.06240951488930015
ID,652.36,0.0
IE,383.7414264571949,0.1388376563131896
IL,570.230742258652,0.03787657818768128
IN-MH,724.0455555555554,0.024827432954254554
IN-UP,728.4277641165756,0.03312255255241074
IN-WE,578.2676035974499,0.06388367872790573
IT-CNO,297.18984403460837,0.12080132882157657
IT-CSO,441.2342201730419,0.1440007071934407
IT-NO,310.30635018214934,0.07331473626815868
IT-SAR,632.5067714025499,0.10857157927656728
IT-SIC,419.6262989526412,0.1763015744128135
IT-SO,414.2760359744991,0.15804747782412343
JP-KN,458.00451502732244,0.05697474899470154
JP-TK,551.0889412568306,0.07592298055234108
KR,490.153524590164,0.028989672106674958
LT,266.47909153005463,0.15662652258157167
LU,333.4024772313297,0.16029252271079905
LV,300.2724874772313,0.21140361472943525
NL,451.819781420765,0.08249025804497281
NO-NO1,29.348893442622952,0.04068195055695845
NO-NO2,27.245140027322403,0.1125653199702237
NO-NO3,32.403977686703094,0.04064364895499662
NO-NO4,47.843125,0.04904506571664814
NO-NO5,36.09691029143899,0.05650909642215508
NZ,92.23014230418943,0.06093886053688542
PA,265.80422131147543,0.10036447561857702
PE,97.96796903460839,0.13534200256355733
PL,826.6023383424408,0.041179390977104186
PT,240.72776070127503,0.12688670577119457
RO,429.93166211293266,0.07937551658704352
SE-SE1,14.83753756830601,0.0545242295128026
SE-SE2,16.482061703096537,0.02384958355657139
SE-SE3,25.066302367941713,0.08524600398768754
SE-SE4,38.34920651183971,0.17945200494328686
SG,492.40096197632056,0.006430916614139135
SI,264.2652777777778,0.1037095752387882
SK,292.6936714480874,0.09463653282477294
TR,424.51982809653913,0.07549043286315922
TW,539.6630566939891,0.027609617346029645
US-CAL-BANC,238.31885815118397,0.10878970831361319
US-CAL-CISO,278.0985393897996,0.2022590867272815
US-CAL-LDWP,396.3332638888889,0.1011164974216998
US-CAL-TIDC,360.5830179872495,0.14724166901434696
US-CAR-CPLE,297.42714594717665,0.16033097933818682
US-CAR-CPLW,415.44036429872494,0.06109865329223111
US-CAR-DUK,275.49275273224043,0.08040232967895512
US-CAR-SC,585.4456193078324,0.06271280657445528
US-CAR-SCEG,417.6515118397086,0.07716570842925044
US-CENT-SPA,188.7380088797814,0.15388802960490294
US-CENT-SWPP,472.9163387978142,0.14248350210798919
US-FLA-FMPP,583.4453517759563,0.03376970801841289
US-FLA-FPC,547.7163672586521,0.017155572867368848
US-FLA-FPL,405.78116347905285,0.047262570727401476
US-FLA-GVL,650.28120787796,0.02240222990527748
US-FLA-JEA,723.9703950364299,0.028263313891989064
US-FLA-TAL,459.97851889799637,0.038498030568591406
US-FLA-TEC,591.8160234517304,0.05177707803623642
US-HI-OA,945.4542418032786,0.06634484227190937
US-MIDA-PJM,415.13556010928966,0.051031334742609326
US-MIDW-AECI,661.4509221311475,0.07047454266765027
US-MIDW-LGEE,893.5416211293261,0.0203885354292121
US-MIDW-MISO,518.4217486338797,0.06206252295611261
US-NE-ISNE,263.0993146630237,0.08420151656618739
US-NW-BPAT,76.01276753187614,0.11238184451978804
US-NW-CHPD,24.683948087431695,0.03517514915958789
US-NW-DOPD,25.558180783242257,0.08771399951248783
US-NW-GCPD,39.57598929872495,0.191471958920871
US-NW-GRID,547.683308287796,0.012762863991312559
US-NW-IPCO,281.40971539162115,0.21597552299548978
US-NW-NEVP,505.3805510018216,0.09420813116050797
US-NW-NWMT,596.6076821493625,0.0945577365922291
US-NW-PACE,676.6369535519126,0.1016932853484617
US-NW-PACW,285.7341017759563,0.189288135440739
US-NW-PGE,157.37578324225865,0.1425484878013476
US-NW-PSCO,605.1366142987249,0.11262588177977162
US-NW-PSEI,185.24156306921677,0.12176882854854297
US-NW-SCL,24.0,0.0
US-NW-TPWR,54.615235655737706,0.11808846761215647
US-NW-WACM,766.2709448998178,0.04407657649006084
US-NY-NYIS,235.66375683060107,0.0895972795887674
US-SE-SOCO,439.1332229052823,0.03179012649363476
US-SW-AZPS,507.6526479963571,0.10525404323836016
US-SW-EPE,647.2528597449909,0.07343257170376817
US-SW-PNM,675.2108595173042,0.0870578378647943
US-SW-SRP,302.7588683970856,0.10116594229120852
US-SW-TEPC,696.2371413934426,0.09492335285419146
US-SW-WALC,445.92299294171215,0.11004260720929968
US-TEN-TVA,314.3899430783242,0.05331794838658537
US-TEX-ERCO,427.69721083788704,0.12273357865902536
UY,87.65543602003645,0.32941100029596576
ZA,724.4211589253188,0.02636585547310447
